time, Quad.GPS.X
0.105000,-0.372319
0.205000,0.639987
0.305000,-0.736634
0.404998,0.869336
0.504997,0.180194
0.604996,-0.945330
0.704994,0.887752
0.804993,-0.259940
0.904992,-0.450649
1.004991,-1.571771
1.104996,-0.470706
1.205000,-0.521896
1.305005,0.253452
1.405010,0.472187
1.505014,-0.728171
1.605019,-0.304144
1.705024,0.691217
1.805028,0.976935
1.905033,-0.720190
2.005037,0.025832
2.105030,-0.246533
2.205023,0.657701
2.305015,0.154157
2.405008,0.268186
2.505001,-1.340764
2.604994,-0.122222
2.704986,-0.281471
2.804979,-0.170454
2.904972,-0.306131
3.004965,0.505934
3.104957,-1.532753
3.204950,0.509784
3.304943,-0.526731
3.404936,0.039883
3.504928,0.415602
3.604921,-0.276905
3.704914,0.223390
3.804907,-0.660107
3.904899,-0.184361
4.004892,-1.156770
4.104885,1.426466
4.204878,-0.401237
4.304871,-0.634446
4.404863,-0.234778
4.504856,0.091205
4.604849,1.096455
4.704842,0.314692
